title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
올리브영 왕십리엔터식스,2906613,쇼핑,쇼핑,사후면세점,,서울특별시,127.0384101499,37.5614947974,-,
올리브영 용산리첸시아,2931808,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/84/2889184_image2_1.jpg,서울특별시,126.9671867438,37.5381490089,-,
올리브영 용산아이파크몰점,3306656,쇼핑,쇼핑,사후면세점,,서울특별시,126.9647566449,37.5298249324,-,-
올리브영 용인광교,2913499,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/65/2888765_image2_1.jpg,경기도,127.0698258405,37.2979564892,-,
올리브영 용인구갈,2930978,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/20/2889420_image2_1.jpg,경기도,127.1115614395,37.2802398438,-,
올리브영 용인동백,3306981,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/64/3313564_image2_1.jpg,경기도,127.1526272392,37.2774353497,-,
올리브영 용인수지,2913951,쇼핑,쇼핑,사후면세점,,경기도,127.0948839701,37.323154019,-,
올리브영 용인중앙,2906645,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/26/2888026_image2_1.jpg,경기도,127.2058319399,37.2351384229,-,
올리브영 용인포곡,2907817,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/99/2888099_image2_1.jpg,경기도,127.2184853617,37.2702068149,-,
올리브영 운서역,2918058,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/78/2882778_image2_1.jpg,인천광역시,126.4915008349,37.4934735467,-,
올리브영 울산구영점,3307327,쇼핑,쇼핑,사후면세점,,울산광역시,129.2407004285,35.5754846763,-,-
올리브영 울산대로점,3306532,쇼핑,쇼핑,사후면세점,,울산광역시,129.3223888601,35.5358212281,-,-
올리브영 울산병영점,3305700,쇼핑,쇼핑,사후면세점,,울산광역시,129.3463108437,35.5687846395,-,-
올리브영 울산삼산점,3305491,쇼핑,쇼핑,사후면세점,,울산광역시,129.3369708096,35.5397932782,-,-
올리브영 울산성남점,3307463,쇼핑,쇼핑,사후면세점,,울산광역시,129.3213578818,35.5540052755,-,-
올리브영 울산업스퀘어점,3306156,쇼핑,쇼핑,사후면세점,,울산광역시,129.3389289269,35.5413875802,-,-
올리브영 울산옥동점,3306673,쇼핑,쇼핑,사후면세점,,울산광역시,129.2901055932,35.53484573,-,-
올리브영 울산온산점,3305487,쇼핑,쇼핑,사후면세점,,울산광역시,129.3089234581,35.433688004,-,-
올리브영 울산터미널,2925187,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/60/2884260_image2_1.jpg,울산광역시,129.3405427908,35.5372936266,-,
올리브영 울산테라스파크,2931607,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/66/2884166_image2_1.jpg,울산광역시,129.4288722588,35.4998217251,-,
올리브영 원흥역점,3305428,쇼핑,쇼핑,사후면세점,,경기도,126.8739171014,37.6495038349,-,-
올리브영 웨스턴돔중앙,2914203,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/76/2888776_image2_1.jpg,경기도,126.7717512351,37.6565206379,-,
올리브영 위례센터점,3306688,쇼핑,쇼핑,사후면세점,,경기도,127.1412782973,37.473104135,-,-
올리브영 은행나무사거리,2922900,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/86/2888486_image2_1.jpg,서울특별시,126.9083667608,37.4515885657,-,
올리브영 응암역,2912577,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/70/2888270_image2_1.jpg,서울특별시,126.9153536461,37.5986993752,-,
올리브영 의정부금오점,3307624,쇼핑,쇼핑,사후면세점,,경기도,127.0697463005,37.7520065367,-,-
올리브영 의정부민락,2931567,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/42/2881342_image2_1.jpg,경기도,127.0952886173,37.744902271,-,
올리브영 의정부역,2930908,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/89/2881289_image2_1.jpg,경기도,127.0436740619,37.7387076144,-,
올리브영 의정부중앙로,2906651,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/92/2881292_image2_1.jpg,경기도,127.048856889,37.7398659065,-,
올리브영 이대중앙,2925694,쇼핑,쇼핑,사후면세점,,서울특별시,126.9454964679,37.5588934317,-,
올리브영 이마트킨텍스점,3305695,쇼핑,쇼핑,사후면세점,,경기도,126.7440786202,37.6616362162,-,-
올리브영 이태원입구,2924173,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/82/2878482_image2_1.jpg,서울특별시,126.9899264383,37.5346442677,-,
올리브영 인덕원역점,3305748,쇼핑,쇼핑,사후면세점,,경기도,126.9772619163,37.4008734595,-,-
올리브영 인제대,2907495,쇼핑,쇼핑,사후면세점,,경상남도,128.9042139407,35.2455960402,-,
